T0_CT_A01	T0_CT_A03	T0_CT_A05	T0_CT_A06	T0_CT_A07	T0_CT_A08	T0_CT_A10	T0_CT_A11	T0_CT_B01	T0_CT_B03	T0_CT_B05	T0_CT_B07	T0_CT_B08	T0_CT_B09	T0_CT_C02	T0_CT_C03	T0_CT_C05	T0_CT_C06	T0_CT_C07	T0_CT_C08	T0_CT_C09	T0_CT_C11	T0_CT_C12	T0_CT_D01	T0_CT_D02	T0_CT_D03	T0_CT_D05	T0_CT_D06	T0_CT_D07	T0_CT_D08	T0_CT_D09	T0_CT_D11	T0_CT_D12	T0_CT_E01	T0_CT_E03	T0_CT_E04	T0_CT_E05	T0_CT_E06	T0_CT_E07	T0_CT_E08	T0_CT_E09	T0_CT_E10	T0_CT_E11	T0_CT_E12	T0_CT_F01	T0_CT_F02	T0_CT_F03	T0_CT_F04	T0_CT_F05	T0_CT_F06	T0_CT_F07	T0_CT_F09	T0_CT_F11	T0_CT_F12	T0_CT_G01	T0_CT_G02	T0_CT_G03	T0_CT_G04	T0_CT_G07	T0_CT_G08	T0_CT_G09	T0_CT_G11	T0_CT_H01	T0_CT_H02	T0_CT_H04	T0_CT_H05	T0_CT_H08	T0_CT_H09	T0_CT_H12	T24_CT_A01	T24_CT_A03	T24_CT_A04	T24_CT_A05	T24_CT_A07	T24_CT_A08	T24_CT_A09	T24_CT_A10	T24_CT_B01	T24_CT_B02	T24_CT_B03	T24_CT_B05	T24_CT_B06	T24_CT_B07	T24_CT_B08	T24_CT_B09	T24_CT_B11	T24_CT_C01	T24_CT_C02	T24_CT_C03	T24_CT_C05	T24_CT_C07	T24_CT_C08	T24_CT_C09	T24_CT_C10	T24_CT_C11	T24_CT_C12	T24_CT_D01	T24_CT_D02	T24_CT_D03	T24_CT_D04	T24_CT_D05	T24_CT_D06	T24_CT_D07	T24_CT_D08	T24_CT_D09	T24_CT_D10	T24_CT_D11	T24_CT_E01	T24_CT_E02	T24_CT_E04	T24_CT_E05	T24_CT_E07	T24_CT_E09	T24_CT_E11	T24_CT_E12	T24_CT_F01	T24_CT_F02	T24_CT_F03	T24_CT_F04	T24_CT_F05	T24_CT_F07	T24_CT_F08	T24_CT_F09	T24_CT_F10	T24_CT_F11	T24_CT_F12	T24_CT_G01	T24_CT_G02	T24_CT_G03	T24_CT_G04	T24_CT_G05	T24_CT_G06	T24_CT_G08	T24_CT_G10	T24_CT_G11	T24_CT_G12	T24_CT_H01	T24_CT_H02	T24_CT_H03	T24_CT_H05	T24_CT_H07	T24_CT_H09	T24_CT_H12	T48_CT_A01	T48_CT_A02	T48_CT_A03	T48_CT_A04	T48_CT_A05	T48_CT_A06	T48_CT_A07	T48_CT_A08	T48_CT_A09	T48_CT_A10	T48_CT_A11	T48_CT_A12	T48_CT_B01	T48_CT_B02	T48_CT_B03	T48_CT_B04	T48_CT_B06	T48_CT_B08	T48_CT_B10	T48_CT_B11	T48_CT_B12	T48_CT_C01	T48_CT_C02	T48_CT_C03	T48_CT_C04	T48_CT_C05	T48_CT_C06	T48_CT_C07	T48_CT_C09	T48_CT_C10	T48_CT_C11	T48_CT_D01	T48_CT_D02	T48_CT_D03	T48_CT_D04	T48_CT_D06	T48_CT_D07	T48_CT_D08	T48_CT_D09	T48_CT_D10	T48_CT_D11	T48_CT_D12	T48_CT_E01	T48_CT_E02	T48_CT_E03	T48_CT_E04	T48_CT_E05	T48_CT_E06	T48_CT_E07	T48_CT_E08	T48_CT_E10	T48_CT_E11	T48_CT_E12	T48_CT_F01	T48_CT_F02	T48_CT_F03	T48_CT_F05	T48_CT_F07	T48_CT_F09	T48_CT_F10	T48_CT_F11	T48_CT_G01	T48_CT_G02	T48_CT_G03	T48_CT_G07	T48_CT_G08	T48_CT_G09	T48_CT_G10	T48_CT_G11	T48_CT_G12	T48_CT_H01	T48_CT_H02	T48_CT_H04	T48_CT_H05	T48_CT_H06	T48_CT_H07	T48_CT_H08	T48_CT_H11	T48_CT_H12	T72_CT_A01	T72_CT_A05	T72_CT_A08	T72_CT_A09	T72_CT_A11	T72_CT_B01	T72_CT_B02	T72_CT_B03	T72_CT_B04	T72_CT_B05	T72_CT_B06	T72_CT_B08	T72_CT_B09	T72_CT_B11	T72_CT_B12	T72_CT_C04	T72_CT_C06	T72_CT_C07	T72_CT_C09	T72_CT_C11	T72_CT_D01	T72_CT_D03	T72_CT_D04	T72_CT_D05	T72_CT_D07	T72_CT_D10	T72_CT_D11	T72_CT_E04	T72_CT_E05	T72_CT_E07	T72_CT_F01	T72_CT_F05	T72_CT_F07	T72_CT_F10	T72_CT_F11	T72_CT_G03	T72_CT_G04	T72_CT_G06	T72_CT_G08	T72_CT_G10	T72_CT_G11	T72_CT_H01	T72_CT_H03	T72_CT_H05	T72_CT_H08	T72_CT_H09	T72_CT_H10	T72_CT_H11	T72_CT_H12
NUP37	5.07157	48.0816	84.9386	23.4965	120.836	3.34458	38.8515	0.0962156	58.9105	59.5152	83.6099	46.2887	105.396	108.599	99.9791	27.357	64.6602	52.1708	37.4469	45.661	1.4382	0	75.0884	30.4577	3.52424	35.1994	106.871	89.296	0.645396	2.02312	30.1616	36.036	7.49527	50.969	0	5.91743	0	28.1338	198.258	220.194	109.755	24.5195	18.7415	13.4824	85.891	76.9954	117.807	83.6059	47.7171	27.6964	15.7467	2.34884	0	3.0302	23.7611	49.7957	0	22.5005	67.9925	101.075	43.199	44.989	0	7.7022	60.7737	0	50.3415	61.948	89.0485	0	0	45.3969	5.75916	0	33.4533	0	0	0	149.736	0	0	0	0	6.64291	0	10.1255	69.0375	0	42.2947	208.028	0	0	0	0.949982	92.8145	0	1.43407	41.599	5.0894	0	49.054	121.286	74.188	0	0	59.4124	27.9912	110.127	29.0585	0	71.8097	56.2719	0	0	1.27164	0	3.69211	0	0	123.425	0	0	4.27725	0	0	55.5497	29.0749	0	0	0	0	2.93936	1.70783	97.6386	99.8041	0	0	0	0	0	59.4088	5.22442	0.327014	0	0	0	2.46079	6.53357	56.8453	3.98826	0	0	0	0.806462	142.49	0.26415	16.1774	0	0	0	0	0	87.6011	3.19717	0	0	106.776	0	80.3455	6.19236	0	32.6656	2.14086	0	8.60557	0	0	0	75.0182	0	0	0	31.7547	0	0	55.7844	0	0	0.913241	0	0	4.17457	87.5489	0	0	91.1857	0	0	0	159.523	1.93712	41.9647	0	0	113.106	0	35.1787	19.6475	30.4096	1.15206	59.1066	0	10.9908	0.6381	109.09	389.75	3.32505	93.8205	0	5.27869	0	2.60205	0	24.1917	0	17.2951	66.1141	4.91016	0	8.32771	32.2317	4.44881	0	0	103.063	0	0	6.4673	10.1891	19.4665	4.11591	28.7636	53.7023	2.52386	0	0	0.985486	1.17888	0	6.50919	46.5332	2.05184	51.3906	29.8683	8.63512	81.2666	0	0	32.2058	98.0564	1.11613	74.8547	0	0	0.601005	114.37	83.1043	151.199	0	2.15414	29.1112
GTSE1	2.41552	11.2612	7.12389	0	0	0.166255	2.33694	0.102068	0	10.136	0	0	1.08839	0	2.02682	0	0	0	0	18.8574	0	0	2.44012	0	0	2.54735	0	2.80114	0	1.08355	0	0	13.4688	10.2048	16.4992	0	0	2.7087	3.75901	6.65817	0	0	40.6059	0.260369	23.0705	34.2216	8.10201	11.7103	0	0	0	7.56765	0	3.54928	1.88517	0	0	0.566983	3.90882	0.628479	0	0	0	0	0.402654	0	0	0	0	0	0	0	30.1088	0	0	0	0	0	0	0	0	0	0	0	0	6.58305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80967	0	0	0	0	0.173463	0	0	0	0	0	12.4605	0	0	0	0	0	0	0	0	0	0	3.14898	0	0	0	0	0	0	0	0	0	0	0	0	10.4743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250665	0	0.280017	0.20424	60.5214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5865	0	0	0.451406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728016	39.1954	0	0	0	0	0	2.70846	2.5236	54.7681	0	0	0
MCM6	6.79558	37.5441	7.65696	4.43634	16.4546	0	0.426149	0	0	32.3741	0.228228	2.99317	39.5917	56.8887	35.0494	13.4058	0	0	5.41582	4.55039	0.0411888	0	16.8706	3.6926	0	25.2093	0.129231	0.713473	13.8187	26.1826	22.2901	41.8581	0	12.1398	0.841838	5.24648	0	27.2295	63.1375	1.51825	6.72945	0.16291	0	0.569423	10.6366	0	1.64523	0	0.177103	61.8215	15.3975	1.43128	0	0.89597	33.8216	0	0.969395	0	0	30.4622	0.211137	0.914376	0	1.72331	16.2521	0	0	0	0	30.7695	0	0.344213	0	0	0	0	8.09572	0	0	0	0	0	0	0.0955979	0	71.4213	21.4276	0	0.156766	0	54.961	5.07033	0	0	0.401525	0.157642	0	0	0	0.361099	14.0348	10.7615	0	0	0	8.35233	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14432	0	0	0	17.8095	0	0	8.00971	0	0	0.144745	0	0	0	0	0.135792	71.1386	138.905	0	0	0	0	36.1446	5.61796	0	0	0	48.7391	0	0	38.6174	0	9.67474	1.40176	0.436345	0.112317	0.069091	0	0.287264	0	0	10.2752	2.17539	2.33927	0	0	0	1.89046	0	5.65066	0	0	27.7332	0	4.69209	0.130581	0	0.195076	1.83476	0	0	0	212.829	0	0	1.2373	0	0	1.00762	0.235409	0	0	1.59125	0	0	0	0	0	0.134957	0.122964	0	0.484787	0	0	0	20.4302	36.5651	0.121597	0	2.08081	1.24335	3.25881	0	0	12.2121	0	0	0	0	0	0	0	11.1528	0	1.00815	0	0	0	0	0	0	0	4.34359	0	14.4057	0	18.7311	1.58982	0	0	9.72695	0	2.18646	0	0	0	0	0	10.2875	0	0	13.8779	13.7631	0	0.523862	0	0	0	0	0	0	0.210663	8.35054	0.0766852	0	1.28016	5.30392	0.0546819	0	0	0	0
PLXNA2	1.58907	3.46191	0.21659	4.74604	27.4049	0.0423627	0.854422	0.00845042	3.87799	4.55652	1.6182	0.0227127	0.938033	49.6853	0.63693	3.05123	5.17572	12.1619	1.3729	5.96678	1.31586	32.7285	0.174564	10.2582	12.3835	16.3635	3.14089	8.72251	0.234522	32.8871	21.6142	3.35433	4.06705	14.8106	0.102216	5.46129	16.5647	28.1431	4.72242	0.0236313	0.0926323	1.04251	32.9292	5.54508	3.93616	32.6533	0	0.272466	5.94129	4.31283	1.73699	0.131852	0.022718	0.0232002	0.320462	11.6015	0.0999065	0	20.3482	2.18089	0.564027	30.5944	2.24942	23.5867	0	0	5.5048	15.8213	0.851133	0	0	0	0	24.0891	0	19.3361	0	0	0	21.7864	3.73284	0	0	0	0	0	0.152049	0	0	6.81298	0	0	0	3.64122	3.24019	6.32104	7.66643	0	37.699	0	3.88617	0	2.08847	0.593684	7.77586	0.585	0	0	0	0	0	0	9.59779	0	0.361144	0.193758	0	9.92159	45.8972	0	0	0	0	0.21714	0	0.145395	0	0	0	0	0	13.3633	24.9504	0	0	0	2.87793	0	0	0	0	0	0	0	0	0	0.0326656	0	0.0329653	0.206212	0	0.067035	12.0048	7.4534	0	1.44304	0	0	0	0	0	0	1.21143	0	0	0	1.05227	0.030294	0	0	0	2.47591	0	0	0.901344	0.22706	0.128894	4.88379	18.6387	0	0.124058	0	0	0	38.395	0.222153	0	0.730837	0.146244	2.0905	0.0680673	0.0638597	0.740298	0	0.0521119	0	63.3218	1.59529	0	0.0266648	0	0	0	0	0	1.50097	0	11.3741	19.5568	0	0	0.387619	2.77621	1.20152	26.7075	0	0.258579	0	0	0.0801457	0	0.0608652	0.0552196	0	0	2.01758	0	0	0.421867	0	0.170565	0	9.85946	0	0	46.9884	0	0.373833	6.39833	0	0	0	4.61475	0	53.0941	0	0	0	0	0	0	0	0	0	0	4.21608	6.29038	0	0	0	0	0.511347	0	1.00534	4.71349	0	6.90109	0	0	0	0.490333
UBE2T	49.3491	142.212	76.9478	0	300.866	0	73.6565	0	0.232697	214.748	0	0	193.653	325.379	110.878	0	0	0	39.2518	128.241	2.88367	0	127.828	38.826	0.810649	80.6948	2.67237	21.9348	1.3104	58.9105	1.76994	12.049	166.595	198.447	6.3518	0	204.308	177.776	87.27	443.263	20.8289	0	125.775	0.724551	113.603	371.819	186.264	40.6202	2.99021	144.253	0	0.271248	0	146.447	165.741	1.3121	52.0555	6.29875	56.3001	80.3406	0	0.430411	0	39.3354	0	39.7432	0	0	0	0	33.032	123.503	648.209	0	0	0	144.68	0	0	0	131.398	0	0	0	126.668	382.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.1934	0	0	104.426	3.60991	0	0.998358	0	0	6.52148	0	0	0	2.30003	0	0	0	36.93	0	0	0	0	37.267	12.8907	0	0	0	23.4292	66.6936	0.804025	0	0	0	100.888	0	18.9042	477.257	89.9513	0	0	0	0	72.6695	0	0	67.3542	0	27.1195	0	116.665	0	0	0	0	0	0	0	0	0.83153	40.3022	0	0	0	0	0	66.3378	0	0	165.376	2.20498	0	0	0	0	0	0	0	0	0	13.6427	0	0	0	36.2152	0	0.877134	0.818534	65.1942	3.94298	0.756028	1.13048	0	34.4461	99.8157	0	307.502	0	0	0.634292	0	0	0	0	0	8.16035	0	11.4603	0	0	0	434.613	13.6245	0	0	0	0	0	0	0	8.15768	0	0	0	0	0	4.59147	6.52315	0	0	0	0	0	0	21.8019	272.006	1.22692	0	42.7006	0	0	0	36.0826	0	45.5199	0.60521	0	72.5429	1.70062	5.81181	42.4774	0	0	0	0	0	39.3305	35.5289	94.7816	55.2804	0	0	0	0	0	73.2729	33.1067	273.725	321.5	0	0	0
ACTN2	0	0	0	0	0	75.1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8792	0	23.76	0	0	0	0	0	0	0	93.0069	0	0	0	221.423	0	0	0	0	0	0.122055	0	0	0	0	0	0	0	0	0	14.2948	0	0	0	0	0	0	0	535.687	1.03894	174.185	0	0	0	0	0	0	0	315.971	72.5573	0	0	0	0	0	212.727	297.219	0	0	27.0878	0	0	99.1394	0.383116	0	0	0	0	0	2.90487	0	0.128286	1.22158	536.971	0.209555	0	450.687	0	0	1.46286	0	0	6.28811	0	0	31.1168	449.635	0	0	0	0	0	0	331.554	0	235.028	0	0	0	0	13.7725	0	0	0	0	5.27069	0	0	0	0	0	0	563.127	0	0	0	0	0	543.384	0.408723	0	0	0	0	0	0	23.0357	0	0	0	0	22.7704	0	0	0	0	0	88.2959	6.39622	0	0	0	0	26.277	0	0	0	0	0	0	51.73	42.9772	29.59	0	0	0.606722	25.4368	0	213.354	0.0959386	19.58	0	364.602	0	0	0.441752	0	0	1.87446	0	0	85.2046	0	14.5611	0.263332	11.7006	107.04	26.7669	0	5.33958	0	0	0	0	0	322.754	76.8935	2.15657	0.10388	0	0	0	0	0	0	0	0	0	0
SAR1A	168.686	276.648	207.513	398.14	374.34	407.472	207.051	808.122	157.973	283.174	682.14	268.165	240.239	372.551	264.39	306.564	493.135	263.909	210.468	260.478	138.989	318.736	283.397	272.375	241.384	261.68	546.426	672.739	400.045	290.745	498.592	242.183	271.356	213.265	389.769	261.038	304.925	252.926	317.925	242.385	364.746	162.024	221.222	290.325	285.975	272.172	417.641	168.001	301.544	185.907	265.953	233.126	207.591	350.283	230.819	265.302	464.95	405.238	170.281	331.783	480.234	249.677	435.97	332.685	363.257	473.32	320.452	306.611	433.76	891.423	461.331	391.791	740.964	684.874	633.428	591.993	808.366	446.704	748.567	581.012	896.781	1038.84	675.089	493.715	975.722	451.927	434.278	736.548	478.219	284.75	905.193	712.056	1069.01	505.584	518.376	415.912	761.803	626.407	475.352	442.014	439.046	883.929	458.005	571.367	765.343	675.797	1078.31	1378.5	1109.53	1127.98	771.676	617.375	646.269	362.255	601.528	588.135	355.565	513.666	506.539	1123.32	190.606	679.917	677.368	425.915	862.753	762.612	470.858	577.527	658.828	624.235	316.48	1125.71	446.727	594.065	485.056	499.196	593.028	848.91	1608.73	833.063	536.295	428.815	623.844	616.94	352.844	720.536	512.351	595.449	657.994	612.698	1050.18	769.515	423.07	706.584	487.223	711.009	517.03	633.83	1097.44	879.438	504.177	343.829	590.247	1406	282.888	341.519	899.739	821.886	1191.09	899.809	655.367	1168.98	1174.76	1044.3	544.575	687.038	460.831	942.359	860.658	608.173	712.621	325.772	1595.49	436.711	742.402	703.354	754.953	445.926	1514.83	690.275	594.307	591.665	482.834	544.091	829.603	646.285	505.224	737.19	587.659	648.611	747.768	773.041	891.188	899.522	529.343	568.367	672.479	616.345	628.846	882.422	999.526	1058.4	567.882	511.373	749.669	709.933	846.449	1406.77	692.538	477.046	1600.35	1175.02	263.396	226.82	466.278	378.988	375.22	149.918	395.614	438.448	766.677	675.822	711.74	279.599	434.092	248.732	292.862	413.601	454.486	397.184	597.918	326.464	284.026	204.646	508.512	542.429	427.448	367.843	458.442	254.316	297.875	363.129	675.709	240.443	641.671	253.894	257.973	518.007	367.685	385.671	421.261	429.177	464.679	354.105	266.336	238.602	247.765	368.421	984.479	289.341	332.336
FDFT1	37.0604	286.537	5.57689	10.5099	4.71465	16.401	35.0354	0	77.9798	49.2828	225.199	87.2756	129.219	38.1978	71.862	75.9822	15.7416	71.3944	65.962	257.07	0.222192	7.18826	15.4738	55.2547	38.8031	74.4151	196.44	65.9785	80.9551	64.1756	25.9342	82.8577	0	70.8304	23.0002	33.2227	52.8038	61.0945	35.7375	27.5308	58.2331	21.4535	0	57.8258	63.6051	27.1139	7.97245	28.2731	0.810779	125.234	95.4975	12.1844	139.882	0.199988	13.7654	110.743	34.1883	77.5488	65.6721	106.588	35.9051	52.0277	160.04	33.1229	28.8957	0	0.50904	110.672	22.2268	118.573	335.794	140.352	234.365	245.031	509.886	456.091	343.633	207.932	579.985	114.671	26.365	296.543	155.608	153.068	235.944	217.885	41.8493	252.309	44.7974	319.289	132.802	473.247	829.383	266.357	113.752	163.751	46.7316	199.776	633.753	306.178	160.402	322.123	119.267	221.779	519.866	324.14	432.203	340.051	402.499	1.76572	212.395	592.48	45.9133	235.784	0.899684	12.8835	734.643	171.319	200.452	319.554	328.345	455.334	467.008	226.586	177.609	22.6716	215.516	32.8693	693.224	402.652	341.696	171.13	319.428	390.075	245.747	203.577	323.642	47.1869	120.562	227.596	156.161	423.833	504.476	106.644	148.751	109.159	227.75	120.997	234.679	33.3975	247.319	126.37	7.16457	264.524	1.21697	287.937	236.872	205.478	166.934	458.956	215.912	106.794	468.849	37.9516	168.616	78.4959	100.44	267.994	162.073	40.4173	3.46433	162.939	104.985	223.152	292.117	2.06476	275.734	568.324	144.447	3.47751	142.753	0	5.02738	124.725	137.299	45.2585	104.309	36.3612	12.4698	3.52436	257.371	219.113	92.6537	97.8722	16.5822	294.185	0	25.5941	71.3567	350.35	83.9326	211.661	516.009	73.4895	593.553	53.8502	39.7148	729.923	49.4622	490.787	299.735	442.911	19.7651	231.511	321.116	78.9746	74.6434	152.967	0	112.675	41.1417	35.8137	360.445	83.6645	11.8855	192.235	298.321	9.19463	171.174	50.6615	362.771	170.959	118.921	119.08	104.622	20.5098	138.547	90.5943	0.647783	194.476	124.515	50.1555	150.895	246.51	271.679	494.515	56.768	127.764	107.186	174.702	66.13	200.617	103.336	89.7587	183.269	133.307	124.555	415.832	213.449	0	3.46425	179.094	31.3856	212.933	54.7444	117.077	324.103	147.199	116.809	0.616869	61.9302
OPHN1	4.20773	4.09314	2.73359	1.17685	7.38656	2.54989	0.826553	0.0123823	0.390204	5.83847	1.09289	1.20017	3.8031	5.86631	2.97957	3.86924	4.16144	2.91284	5.15566	2.65678	0.643022	7.36126	2.91773	3.37457	3.4995	0.238905	9.51144	2.31642	2.8299	1.14514	0.611929	5.62252	6.05224	0.682443	1.25891	12.3799	4.70305	3.40398	1.001	1.00563	1.76733	0.0298287	4.94134	2.49768	3.6566	0.437706	2.61556	2.2984	2.12389	0.47268	6.71672	2.52541	0.616564	4.69994	1.9287	1.77217	3.20422	1.91313	2.54114	1.53482	4.82734	15.6996	5.03052	0.617925	50.3361	6.16224	4.97168	4.02691	1.52406	8.45609	33.0446	7.96663	22.9308	10.3703	9.70489	7.16175	3.14425	9.24402	7.94113	3.27961	189.037	10.6543	1.0693	8.08904	6.83759	5.58001	8.04139	3.55502	10.9124	6.16727	15.9738	1.83144	1.66091	6.1843	0.787649	14.7499	8.70939	8.63777	3.97381	6.04147	5.17224	6.33926	7.2663	8.62422	7.72369	4.884	5.87994	5.11505	23.0823	7.7291	15.0684	13.4988	5.85436	3.03634	5.96757	10.8388	6.83393	2.85821	14.354	3.63682	23.2547	7.49555	24.0041	15.2126	7.84322	4.81553	2.4364	20.4749	4.94548	6.20821	10.9455	6.57123	1.80959	6.95892	14.8202	2.25854	9.14698	3.35761	1.02365	6.96432	3.48958	4.3086	4.91097	2.48098	10.4648	2.56774	3.93009	6.39532	0.290365	7.79321	4.56599	5.01507	4.99517	8.35618	14.2139	5.49766	13.6169	11.9595	7.77251	5.22376	8.70099	4.58257	4.76602	16.1953	11.7977	0.691964	15.9038	29.5037	7.18742	15.8116	16.7519	8.68371	9.00672	4.78364	9.30648	10.8999	5.12902	2.91122	3.2624	5.88262	6.86975	20.8607	16.362	5.05997	15.157	9.23788	8.60521	6.89637	9.87618	8.55461	11.2849	5.34402	19.4854	13.3635	9.4846	6.43753	1.74704	4.68261	1.5744	9.194	13.8318	9.63822	7.87505	8.06049	9.53149	4.11334	5.54959	4.53022	17.4807	1446.86	7.63908	14.9	354.674	0.916757	11.6403	1.24547	5.39411	9.97964	71.3285	12.5309	9.85898	3.88577	0.080863	1.69903	2.98098	4.02757	5.27983	1.57084	6.46708	4.04008	6.32631	5.53602	5.15626	2.98209	6.97922	4.7924	5.85291	0.47454	5.02224	2.07002	2.47712	5.58187	3.58695	4.57719	7.00584	4.2327	2.95489	13.4658	4.69959	4.31804	7.17855	2.58142	3.74362	2.97003	4.62056	489.608	1.50293	4.7577	3.67693	2.81786	2.13325	9.11047	1.51742	1.54077	19.0757	3.56972	1.53532	5.84567	3.99832	4.03127	285.236
NDC80	8.20664	73.2271	65.7166	0	74.6055	0.248121	63.4927	0.582357	0	92.2606	0.415153	0	20.1077	17.8502	92.4546	0	0.120577	0	0.166658	137.855	0.445005	0.113737	3.15884	0	0	3.55615	0	7.91787	0	20.8777	0.407011	0	107.522	10.132	7.90927	2.06746	0	0	23.3569	48.2052	0.216288	0	38.2351	0.129616	47.8842	81.8239	27.7769	118.575	0.0803273	0.236118	0.204314	0.358153	0	13.0346	36.1828	0	0.67582	22.9756	28.9786	1.52207	3.0603	0	1.27212	1.84455	0	0	0	0.330225	0	0	0	0	53.7367	0	0	0	0	0	0	0	0	0	0	0	0	37.3395	0	0	0	0	0	0	0	0	0	0	0	0.412673	0	0	0.153147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.6932	0	0	0	0	0	0	0	0	0	0	3.51932	0	0	0	0	0	0	0	0.374566	0.510275	0	0	0	127.496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428274	0	0	0.374138	0	0	0.913611	196.664	0	0.2451	0	0	0	0	0	10.6914	0	0	0	0	0	0	48.729	0	0	0	0	0	0	4.14597	0	0	0	0	0	0	0	0	0	0	0	0	0.865365	0.852207	1.16675	0	0	0.952907	0	0	0	0	0	41.6323	0	0	20.8771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358297	0	0	0	0.673101	67.8766	178.424	147.457	0	0	0
COL16A1	0	0.234585	0	0	0	0	0	0	0.576051	0	0	0	0	0	9.45329	0	0	1.08337	0	0	0.0657188	17.3397	36.1304	0	0	1.35764	0	0	0	0	0	0	0.135882	0	0	0	1.36269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03077	0	0.682369	0	0	0	0	0	1.43586	1.13248	0	0	0	0.354006	0	0	0	0	0	0	0	0	0	10.183	0	1.43047	0.789318	0	32.1844	0	9.55643	1.12442	10.5665	0	0	0	0	0	0.332337	0	0	0.0765219	0	0	0	0	8.00663	0	0	0.0551828	0	0	0	2.41324	20.6679	0	1.84528	0.183236	0.696554	3.46959	0	0	0	0	0	0.3312	6.93284	0	1.32594	0	0	0	0	0	1.45732	0	0	0	7.32944	0	5.98802	0	0	0	0	0	0	0.176352	0.935197	0	0	0	1.36493	1.30608	2.37494	0	0	0	1.98538	2.0956	0	0	13.379	0	0.326185	0	0	0	2.69734	0	4.12761	0	0	3.94217	0	0.632824	0	12.1071	10.3004	9.93578	0.778923	0.468807	0.340391	0.699324	0	0	6.66234	0.204601	4.15162	0.596175	0.302368	0.228774	2.26451	12.3627	6.84046	0	0.26983	0	20.1539	0	0	5.27457	0	0.109407	4.33676	2.37718	0	5.9905	15.2382	0	0.636112	0	0	0	16.5499	8.06705	0	8.55152	1.63325	0	0	0.43974	0.139927	1.12832	0	70.2563	3.21053	0	10.194	4.31608	8.64859	13.6409	0.422261	11.5523	3.72034	0	0.287029	2.10087	2.48698	4.14501	0.948337	18.3542	2.04473	0	0	6.97529	3.7847	1.95251	7.19276	0	0.529733	1.10141	25.1354	2.41593	0.18029	0	2.28302	0	0	1.98289	0.295912	7.50891	4.37648	29.2565	0	8.8869	0.424076	0	49.0005	0.630817	37.2961	0	0.0991569	8.28162	0.820075	4.87488	0	0	0	3.34387
